hhid,plotid,cropid,sa3q1,sa3q2,sa3q3,sa3q4,sa3q4b,sa3q5a,sa3q5b,sa3q6a,sa3q6b,sa3q7,sa3q8a,sa3q8b,sa3q9,sa3q10,sa3q11a,sa3q11b,sa3q12,sa3q13,sa3q14,sa3q15a,sa3q15b,sa3q15c,sect4q16a,sa3q16b,sa3q17,sa3q18,sa3q19a,sa3q19b,sa3q20a,sa3q20b,sa3q21a,sa3q21b,sa3q22a,sa3q22b,sa3q23a,sa3q23b
10018.0,1.0,2.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10018.0,1.0,3.0,MAIZE,1080.0,1.0,,,,,5.0,32.0,2.0,,,2.0,,,,,,,,,,,,,5000.0,0.0,,5.0,32.0,0.0,,0.0,,0.0,
10018.0,1.0,4.0,PEPPER,2140.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10018.0,1.0,5.0,PUMKIN LEAVE,2191.0,1.0,,,,,3.0,61.0,2.0,,,1.0,N1,2.0,61.0,1000.0,1.0,2.0,,,,,,,1500.0,0.0,,0.0,,0.0,,1.0,61.0,0.0,
10018.0,1.0,6.0,PLAINTAIN,2170.0,1.0,,,,,18.0,43.0,2.0,,,1.0,N1,15.0,43.0,14400.0,1.0,2.0,,,,,,,14400.0,0.0,,0.0,,0.0,,3.0,43.0,0.0,
10018.0,2.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019.0,1.0,1.0,WATER YAM,1122.0,1.0,,,2000.0,1.0,12.0,11.0,2.0,,,2.0,,,,,,,,,,,,,72000.0,0.0,,11.0,11.0,1.0,11.0,0.0,,0.0,
10019.0,1.0,2.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019.0,1.0,3.0,MAIZE,1080.0,1.0,,,,,20.0,32.0,2.0,,,1.0,N1,6.0,32.0,6000.0,1.0,1.0,N2,,,7.0,32.0,7000.0,20000.0,2.0,32.0,2.0,32.0,0.0,,2.0,32.0,1.0,32.0
10019.0,1.0,4.0,PUMKIN,2191.0,1.0,,,,,4.0,61.0,2.0,,,1.0,N1,4.0,61.0,2000.0,1.0,2.0,,,,,,,2000.0,0.0,,0.0,,0.0,,0.0,,0.0,
10019.0,1.0,5.0,PEPPER,2140.0,1.0,,,,,2.0,31.0,2.0,,,1.0,N1,2.0,31.0,2000.0,1.0,2.0,,,,,,,2000.0,0.0,,0.0,,0.0,,0.0,,0.0,
10019.0,2.0,1.0,WHITE YAM,1122.0,1.0,,,2000.0,1.0,13.0,11.0,2.0,,,2.0,,,,,,,,,,,,,78000.0,0.0,,12.0,11.0,1.0,11.0,0.0,,0.0,
10019.0,2.0,2.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019.0,2.0,3.0,MAIZE,1080.0,1.0,,,,,26.0,32.0,2.0,,,1.0,N1,14.0,32.0,14000.0,1.0,1.0,N2,,,6.0,32.0,6000.0,26000.0,2.0,32.0,2.0,32.0,0.0,,1.0,32.0,1.0,32.0
10019.0,2.0,4.0,PUMKIN LEAVE,2191.0,1.0,,,,,3.0,61.0,2.0,,,1.0,N1,3.0,61.0,1500.0,1.0,2.0,,,,,,,1500.0,0.0,,0.0,,0.0,,0.0,,0.0,
10019.0,2.0,5.0,PEPPER,2140.0,1.0,,,,,2.0,31.0,2.0,,,1.0,N1,2.0,31.0,2000.0,1.0,2.0,,,,,,,2000.0,0.0,,0.0,,0.0,,0.0,,0.0,
10021.0,1.0,1.0,PINAPPLE,2160.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021.0,2.0,1.0,PINAPPLE,2160.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021.0,3.0,1.0,CASSAVA,1080.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021.0,3.0,2.0,MAIZE,1080.0,1.0,,,1000.0,3.0,20.0,22.0,2.0,,,1.0,N1,15.0,22.0,6000.0,1.0,1.0,N1,,,15.0,22.0,6000.0,9500.0,0.0,,2.0,22.0,0.0,,1.0,22.0,0.0,
10021.0,3.0,3.0,GARDEN EGG,2080.0,1.0,,,1000.0,3.0,12.0,21.0,2.0,,,1.0,N1,12.0,21.0,3500.0,1.0,1.0,N1,,,12.0,21.0,3500.0,3500.0,0.0,,0.0,,0.0,,0.0,,0.0,
10021.0,4.0,1.0,YAM,1120.0,1.0,,,500.0,3.0,5.0,12.0,2.0,,,1.0,N2,2.0,12.0,10000.0,1.0,1.0,N2,,,2.0,12.0,10000.0,15000.0,0.0,,3.0,12.0,0.0,,0.0,,0.0,
10021.0,4.0,2.0,MAIZE,1080.0,1.0,,,1000.0,3.0,15.0,22.0,2.0,,,1.0,N3,15.0,22.0,3750.0,1.0,1.0,N3,,,15.0,22.0,3750.0,3750.0,0.0,,0.0,,0.0,,0.0,,0.0,
10021.0,4.0,3.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021.0,4.0,4.0,PUMKIN,2193.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022.0,1.0,1.0,YAM,1120.0,1.0,,,300.0,1.0,6.0,31.0,2.0,,,1.0,N1,1.0,31.0,2000.0,1.0,1.0,N1,,,1.0,31.0,2000.0,3500.0,0.0,,3.0,31.0,0.0,,0.0,,0.0,
10022.0,1.0,2.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022.0,1.0,3.0,PUMKIN,2193.0,1.0,,,2000.0,3.0,20.0,61.0,2.0,,,1.0,N2,18.0,61.0,900.0,1.0,1.0,N2,,,18.0,61.0,900.0,1850.0,0.0,,0.0,,0.0,,0.0,,0.0,
10022.0,1.0,4.0,MAIZE,1080.0,1.0,,,3600.0,3.0,8.0,11.0,2.0,,,1.0,N2,6.0,11.0,3000.0,1.0,1.0,N2,,,6.0,11.0,3000.0,4500.0,0.0,,1.0,11.0,0.0,,1.0,11.0,0.0,
10022.0,2.0,1.0,PINEAPPLE,2160.0,1.0,,,1500.0,3.0,5.0,11.0,2.0,,,1.0,N3,5.0,11.0,1800.0,1.0,1.0,N3,,,5.0,11.0,1800.0,1800.0,0.0,,0.0,,0.0,,0.0,,0.0,
10022.0,3.0,1.0,PINEAPPLE,2160.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022.0,3.0,2.0,OIL PALM TREE,3180.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10023.0,1.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10023.0,1.0,2.0,MAIZE,1080.0,1.0,,,100.0,3.0,4.0,32.0,2.0,,,1.0,N1,3.0,32.0,2100.0,1.0,2.0,,,,,,,2400.0,0.0,,0.0,,0.0,,1.0,32.0,0.0,
10023.0,2.0,1.0,PINEAPPLE,2160.0,1.0,,,1050.0,3.0,3.0,31.0,2.0,,,1.0,N2,2.0,31.0,2400.0,1.0,2.0,,,,,,,3600.0,0.0,,0.0,,0.0,,1.0,31.0,0.0,
10023.0,3.0,1.0,PINEAPPLE,2160.0,1.0,,,2000.0,3.0,4.0,3.0,2.0,,,1.0,N2,3.0,32.0,6000.0,1.0,2.0,,,,,,,8000.0,0.0,,0.0,,0.0,,1.0,32.0,0.0,
10023.0,3.0,2.0,OIL PALM TREE,3180.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024.0,1.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024.0,1.0,2.0,MAIZE,1080.0,1.0,,,600.0,3.0,1.0,21.0,2.0,,,2.0,,,,,,,,,,,,,1000.0,1.0,21.0,0.0,,0.0,,0.0,,0.0,
10024.0,1.0,3.0,PUMKIN,2190.0,1.0,,,100.0,1.0,3.0,61.0,2.0,,,2.0,,,,,,,,,,,,,1500.0,3.0,61.0,0.0,,0.0,,0.0,,0.0,
10024.0,2.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024.0,2.0,2.0,MAIZE,1080.0,1.0,,,200.0,3.0,1.0,21.0,2.0,,,2.0,,,,,,,,,,,,,1000.0,1.0,21.0,0.0,,0.0,,0.0,,0.0,
10024.0,3.0,1.0,OIL PALM TREE,3180.0,1.0,,,50.0,1.0,1.0,91.0,2.0,,,2.0,,,,,,,,,,,,,1500.0,1.0,91.0,0.0,,0.0,,0.0,,0.0,
10025.0,1.0,1.0,CASSAVA,1020.0,2.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
